behavior_name,technique_id,run_id,detection_id,detection_title,wazuh_rule_id,wazuh_fired,sigma_matched,behavioral_verdict,static_verdict,total_score,tuning_notes,compared_at
Encoded PowerShell execution,T1059.001,RUN-T1059-001-20260721-140107,1475,Suspicious Encoded PowerShell Command Line,92057,1,1,VERIFIED_OVERLAP,distinct,0.45,,2026-07-21T11:06:36.321669+00:00
Kerberoasting service ticket request,T1558.003,RUN-T1558-003-20260722-185348,196,Suspicious Kerberos RC4 Ticket Encryption,60107,,,,NO_CONTENT_OVERLAP,0.2286,,2026-07-22T15:53:48.757172+00:00
Kerberoasting service ticket request,T1558.003,RUN-T1558-003-20260722-185353,196,Suspicious Kerberos RC4 Ticket Encryption,60107,0,1,sigma_only_on_event,NO_CONTENT_OVERLAP,0.2286,"SIGMA_ONLY / WAZUH_DETECTION_GAP. Telemetry was present. Sigma detection 196 matched the real Windows Security Event 4769. EventID 4769, TicketOptions 0x40810000, and TicketEncryptionType 0x17 matched exactly. ServiceName svc_sql did not match the machine-account reduction ending in '$'. Wazuh rule 60107 is a generic service-ticket event rule, not a Kerberoast-specific detection. telemetry_gap=false.",2026-07-22T15:53:53.190491+00:00
AS-REP roasting validation,T1558.004,RUN-T1558-004-20260722-225113,142,Potential AS-REP Roasting via Kerberos TGT Requests,,0,1,SIGMA_ONLY,NO_CONTENT_OVERLAP,0.0,SIGMA_ONLY / WAZUH_DETECTION_GAP. Real-event telemetry is present (telemetry_gap=false). No Wazuh rule fired on the event and no matching rule exists in the Wazuh catalog. Sigma detection 142 evaluated TRUE against the same real event.,2026-07-22T19:51:13.593880+00:00
SMB password spray,T1110.003,RUN-T1110-003-20260722-234003,179,Account Tampering - Suspicious Failed Logon Reasons,60122,1,0,WAZUH_ONLY,NO_CONTENT_OVERLAP,0.2536,,2026-07-22T20:40:03.558689+00:00
LDAP password spray,T1110.003,RUN-T1110-003-20260722-234809,179,Account Tampering - Suspicious Failed Logon Reasons,60122,1,0,WAZUH_ONLY,NO_CONTENT_OVERLAP,0.2536,,2026-07-22T20:48:09.874991+00:00
PsExec service execution,T1569.002,RUN-T1569-002-20260723-000852,293,PsExec Service Installation,92650,1,1,VERIFIED_OVERLAP,NO_CONTENT_OVERLAP,0.2417,,2026-07-22T21:08:52.637309+00:00
